,models,InferentiaPerform,LambdaPerform,InferentiaTime,LambdaTime,InferentiaPrice,LambdaPrice,LambdaEventPerPrice
0,mobilenet_v2,6976,4155,8.6,43.6,0.006033333333333333,0.010128314880000001,1.4518800000000001e-06
1,inception_v3,1538,657,39.0,275.5,0.006033333333333333,0.0141098427,9.17415e-06
2,resnet50,7500,938,8.0,193.0,0.006033333333333333,0.04820175,6.4269e-06
3,vgg16,4285,388,14.0,466.0,0.006033333333333333,0.066493773,1.5517800000000002e-05
4,vgg19,3838,327,15.632188681400185,554.0,0.006033333333333333,0.0708041916,1.84482e-05
